"","(Intercept)","pre_urea","sodium","pre_creatinine","total_co2","chloride","hemoglobin","albumin","potassium","phosphate","wbc","calcium","magnesium","glucose_r","platelets"
"r2_061",-1.26604696508899,0.0557109629785537,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_067",-5.57621749802616,0.0546138556130739,0.0314696966291479,0,0,0,0,0,0,0,0,0,0,0,0
"r2_074",-6.33990878153103,0.0649430746660076,0.0388430199161786,-0.000634370130359292,0,0,0,0,0,0,0,0,0,0,0
"r2_089",-7.39784601091224,0.0740958005227937,0.0329343819581346,-0.00061858678671312,0.0699859747066036,0,0,0,0,0,0,0,0,0,0
"r2_091",-7.36548791557262,0.0722589800908408,0.0512789051197436,-0.000705177241574852,0.0568369398656577,-0.0216182788733831,0,0,0,0,0,0,0,0,0
"r2_092",-7.92907270955337,0.0728784728640857,0.0506324526327807,-0.000715594032459211,0.059154374087132,-0.0211319847888458,0.00509858856797701,0,0,0,0,0,0,0,0
"r2_093",-7.75706938741448,0.0732472076469221,0.054409235542331,-0.000686740323515194,0.0581561497701972,-0.0243129021692329,0.00602638392702794,-0.014017599432823,0,0,0,0,0,0,0
"r2_095",-8.41746676970812,0.0713177851478712,0.0579583572908265,-0.000761701180718172,0.0583064059725373,-0.0256154926608007,0.00599259657446165,-0.0148641421654454,0.0899719012165994,0,0,0,0,0,0
"r2_096",-8.27429220188692,0.0724973838699436,0.0613211023203458,-0.00074634031571365,0.0531484826274559,-0.0292829336511519,0.00602163339841584,-0.015985749116179,0.0974537787126314,-0.0919061959849766,0,0,0,0,0
"r2_096",-8.55344723205736,0.0721999630818448,0.0596467410011571,-0.000725602059698858,0.0555485037856863,-0.0264438302101662,0.00585071724677916,-0.0136385466666907,0.0944269979985662,-0.093704013860376,0.0145927301581066,0,0,0,0
"r2_097",-8.85917413573089,0.0721378518964696,0.0601677975257809,-0.000736692916956941,0.0534676736088314,-0.0271969184553459,0.00578016189785662,-0.0155597321758372,0.0937557284167805,-0.0894685298426472,0.0135291300202151,0.196991858783464,0,0,0
"r2_097",-8.87847745135268,0.0718907256716481,0.0605668504173331,-0.000745082828506274,0.0527406602084625,-0.0274708991435869,0.00574513329996762,-0.0156783517330011,0.0915907335159849,-0.0922251758690669,0.0134361194326249,0.181564728675441,0.0863268299977234,0,0
"r2_097",-8.80899171430113,0.0718620499949759,0.0604462232546257,-0.0007490328120182,0.0525074961949457,-0.0277626520202881,0.00572192693385183,-0.015682483664949,0.0921822367717023,-0.0926620753680569,0.0133941861724461,0.178570513998109,0.0871177410697815,-0.000867999481541757,0
"r2_097",-8.82104535030344,0.0718647325972105,0.0604782008193752,-0.000747966566640482,0.0525375274988396,-0.0277063954841021,0.00573203225276819,-0.0157405653240723,0.092342424320228,-0.0927695610711503,0.0130755667999772,0.177659810399348,0.0877567898082228,-0.000834088404326802,2.09438014858169e-05
